id,user_id,user_name,email_id,phone_number,age,gender,zipcode,city,state,country,signup_date
0,0,Christopher Baker,james34@example.com,(232)834-5130x473,18,Male,10004,Los Angeles,California,USA,2020-08-27
1,1,Christine Wyatt,clarkmelissa@example.com,+1-666-889-2867,75,Female,10002,Houston,California,USA,2020-06-13
2,2,Andrew Garza MD,antoniogarza@example.net,239.278.9396x90237,56,Male,10002,Miami,California,USA,2021-05-24
3,3,Kimberly Thornton,tmedina@example.com,6896483666,21,Male,10003,Los Angeles,California,USA,2021-08-07
4,4,Wendy Gaines,amandadominguez@example.com,649.810.7394x7029,27,Female,10003,New York,California,USA,2022-12-20
5,5,Jason Alvarez,kwarren@example.com,750.642.6706x517,74,Female,10002,Miami,California,USA,2021-01-26
6,6,Rachael Shepherd,kathleenperry@example.org,(636)438-9785,30,Female,10002,Houston,California,USA,2023-03-30
7,7,Kelly Hudson,jeremywebster@example.com,265-340-2360,25,Male,10004,New York,California,USA,2020-12-03
8,8,Lauren Juarez,mahoneymichelle@example.net,001-694-934-2734x447,75,Female,10001,New York,California,USA,2022-11-26
9,9,Andre Perez,andrea66@example.com,984.641.5445x8689,55,Female,10003,Miami,California,USA,2020-05-23
10,10,Katherine Mahoney,melissa47@example.com,(558)345-4030,20,Male,10005,Chicago,California,USA,2022-10-01
11,11,Melissa Hoffman,smiththomas@example.org,812.809.4177x32061,36,Female,10004,Houston,California,USA,2022-12-24
12,8589934592,Christopher Baker,james34@example.com,(232)834-5130x473,27,Male,10005,Chicago,California,USA,2021-04-06
13,8589934593,Christine Wyatt,clarkmelissa@example.com,+1-666-889-2867,28,Male,10002,Miami,California,USA,2021-09-06
14,8589934594,Andrew Garza MD,antoniogarza@example.net,239.278.9396x90237,25,Female,10003,Miami,California,USA,2023-04-23
15,8589934595,Kimberly Thornton,tmedina@example.com,6896483666,69,Female,10002,Miami,California,USA,2020-12-10
16,8589934596,Wendy Gaines,amandadominguez@example.com,649.810.7394x7029,72,Female,10005,Chicago,California,USA,2020-09-05
17,8589934597,Jason Alvarez,kwarren@example.com,750.642.6706x517,70,Male,10001,Chicago,California,USA,2023-06-26
18,8589934598,Rachael Shepherd,kathleenperry@example.org,(636)438-9785,54,Male,10004,New York,California,USA,2021-08-29
19,8589934599,Kelly Hudson,jeremywebster@example.com,265-340-2360,27,Male,10005,Miami,California,USA,2020-04-06
20,8589934600,Lauren Juarez,mahoneymichelle@example.net,001-694-934-2734x447,65,Female,10004,Miami,California,USA,2022-12-05
21,8589934601,Andre Perez,andrea66@example.com,984.641.5445x8689,55,Female,10004,New York,California,USA,2022-05-23
22,8589934602,Katherine Mahoney,melissa47@example.com,(558)345-4030,39,Male,10004,Chicago,California,USA,2021-06-09
23,8589934603,Melissa Hoffman,smiththomas@example.org,812.809.4177x32061,27,Male,10001,Los Angeles,California,USA,2022-03-05
24,8589934604,Krista Sanders,natalie70@example.net,2249161223,29,Male,10002,New York,California,USA,2021-04-19
25,17179869184,Christopher Baker,james34@example.com,(232)834-5130x473,43,Female,10003,New York,California,USA,2023-12-11
26,17179869185,Christine Wyatt,clarkmelissa@example.com,+1-666-889-2867,21,Male,10004,Chicago,California,USA,2023-07-15
27,17179869186,Andrew Garza MD,antoniogarza@example.net,239.278.9396x90237,36,Male,10005,New York,California,USA,2022-04-25
28,17179869187,Kimberly Thornton,tmedina@example.com,6896483666,30,Male,10003,Miami,California,USA,2020-07-26
29,17179869188,Wendy Gaines,amandadominguez@example.com,649.810.7394x7029,48,Female,10003,Chicago,California,USA,2020-08-03
30,17179869189,Jason Alvarez,kwarren@example.com,750.642.6706x517,58,Male,10005,Los Angeles,California,USA,2021-08-16
31,17179869190,Rachael Shepherd,kathleenperry@example.org,(636)438-9785,55,Female,10002,New York,California,USA,2022-02-15
32,17179869191,Kelly Hudson,jeremywebster@example.com,265-340-2360,39,Male,10004,Houston,California,USA,2023-10-02
33,17179869192,Lauren Juarez,mahoneymichelle@example.net,001-694-934-2734x447,27,Male,10004,Chicago,California,USA,2020-04-11
34,17179869193,Andre Perez,andrea66@example.com,984.641.5445x8689,69,Male,10003,New York,California,USA,2020-06-28
35,17179869194,Katherine Mahoney,melissa47@example.com,(558)345-4030,65,Female,10001,Miami,California,USA,2021-02-14
36,17179869195,Melissa Hoffman,smiththomas@example.org,812.809.4177x32061,48,Male,10002,Houston,California,USA,2022-05-31
37,25769803776,Christopher Baker,james34@example.com,(232)834-5130x473,38,Female,10002,New York,California,USA,2022-10-21
38,25769803777,Christine Wyatt,clarkmelissa@example.com,+1-666-889-2867,57,Female,10001,Miami,California,USA,2020-01-22
39,25769803778,Andrew Garza MD,antoniogarza@example.net,239.278.9396x90237,66,Female,10005,Houston,California,USA,2021-11-25
40,25769803779,Kimberly Thornton,tmedina@example.com,6896483666,41,Female,10004,Houston,California,USA,2021-06-14
41,25769803780,Wendy Gaines,amandadominguez@example.com,649.810.7394x7029,57,Female,10005,Miami,California,USA,2020-05-28
42,25769803781,Jason Alvarez,kwarren@example.com,750.642.6706x517,48,Male,10003,Chicago,California,USA,2023-03-05
43,25769803782,Rachael Shepherd,kathleenperry@example.org,(636)438-9785,58,Female,10001,Chicago,California,USA,2022-10-20
44,25769803783,Kelly Hudson,jeremywebster@example.com,265-340-2360,62,Male,10005,Miami,California,USA,2020-07-04
45,25769803784,Lauren Juarez,mahoneymichelle@example.net,001-694-934-2734x447,63,Male,10002,Miami,California,USA,2022-04-08
46,25769803785,Andre Perez,andrea66@example.com,984.641.5445x8689,62,Male,10001,Los Angeles,California,USA,2020-11-30
47,25769803786,Katherine Mahoney,melissa47@example.com,(558)345-4030,69,Female,10004,Chicago,California,USA,2020-07-09
48,25769803787,Melissa Hoffman,smiththomas@example.org,812.809.4177x32061,58,Male,10004,Miami,California,USA,2020-07-18
49,25769803788,Krista Sanders,natalie70@example.net,2249161223,67,Male,10004,New York,California,USA,2022-01-11
50,34359738368,Christopher Baker,james34@example.com,(232)834-5130x473,20,Male,10004,Los Angeles,California,USA,2022-11-01
51,34359738369,Christine Wyatt,clarkmelissa@example.com,+1-666-889-2867,48,Male,10002,Houston,California,USA,2022-04-01
52,34359738370,Andrew Garza MD,antoniogarza@example.net,239.278.9396x90237,18,Female,10005,Chicago,California,USA,2021-09-19
53,34359738371,Kimberly Thornton,tmedina@example.com,6896483666,26,Male,10003,New York,California,USA,2020-12-10
54,34359738372,Wendy Gaines,amandadominguez@example.com,649.810.7394x7029,61,Female,10004,Chicago,California,USA,2021-05-09
55,34359738373,Jason Alvarez,kwarren@example.com,750.642.6706x517,52,Female,10003,Chicago,California,USA,2023-01-08
56,34359738374,Rachael Shepherd,kathleenperry@example.org,(636)438-9785,74,Male,10002,Chicago,California,USA,2022-08-11
57,34359738375,Kelly Hudson,jeremywebster@example.com,265-340-2360,68,Female,10002,Los Angeles,California,USA,2023-02-11
58,34359738376,Lauren Juarez,mahoneymichelle@example.net,001-694-934-2734x447,20,Male,10002,Houston,California,USA,2022-08-02
59,34359738377,Andre Perez,andrea66@example.com,984.641.5445x8689,67,Male,10001,Houston,California,USA,2022-11-25
